Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage
Adam Wharton,ENG,Crystal Palace,MF,20-334,19,15,"1,258",0,2,2,0,0.3,3.0,14,105,10,0.00,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4
Adama Traoré,ESP,Fulham,"FW,MF",29-097,32,16,"1,568",2,6,2,0,3.8,4.7,87,61,143,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,30.6,0.63,0.06,14.4,383,72.0,5972,81.2,73.4,55.3,37,32,32,17,61,73,4.19,9,0.52,17,12,13,8,7,0,7,1,725,4,74,258,415,86,88,50.0,37.5,483,2232,87,42,33,32,19,548,143,20,29,1,90,78,24,25,49.0
Albert Grønbaek,DEN,Southampton,"FW,MF",23-344,4,2,143,0,0,0,0,0.1,0.0,1,1,3,0.00,0.00,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.4,13,72.2,135,81.8,50.0,N/a,1,2,0,0,1,2,1.26,0,0.00,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-305,33,22,"2,056",5,1,2,0,7.0,3.6,134,54,274,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,1.23,0.06,17.1,600,79.1,8376,89.0,82.9,57.4,30,20,22,3,54,74,3.24,4,0.18,28,18,34,23,19,0,19,13,1078,13,120,340,636,164,85,30.6,60.0,783,3035,134,70,65,61,47,829,274,11,40,10,50,103,3,23,11.5
Alex Iwobi,NGA,Fulham,"FW,MF",28-364,34,32,"2,721",9,6,1,0,4.5,6.5,132,196,221,0.30,0.20,0.15,0.22,N/a,N/a,N/a,N/a,44.3,0.89,0.15,18.3,1037,74.4,17737,85.8,77.5,54.2,53,106,77,16,196,112,3.70,16,0.53,37,21,28,11,25,1,24,11,1693,31,225,678,815,107,86,48.8,45.3,1200,4024,132,99,37,54,38,1321,221,17,16,4,118,124,5,31,13.9
Alex McCarthy,ENG,Southampton,GK,35-150,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.60,70.3,0.0,0.0,N/a,0.00,N/a,N/a,117,75.0,2823,95.3,91.8,49.2,0,5,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0
Alex Palmer,ENG,Ipswich Town,GK,28-265,10,10,900,0,0,2,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,2.50,60.0,0.0,0.0,N/a,0.00,N/a,N/a,207,65.5,6495,95.3,100.0,43.1,1,6,0,0,1,2,0.20,0,0.00,0,0,0,0,0,0,0,0,359,301,353,7,0,0,0,N/a,N/a,157,538,0,0,0,1,0,112,0,1,2,0,0,14,3,0,100.0
Alex Scott,ENG,Bournemouth,MF,21-254,17,7,683,0,0,2,0,0.7,0.8,14,48,32,0.00,0.00,0.09,0.11,N/a,N/a,N/a,N/a,38.5,0.66,0.00,20.0,252,82.9,4041,88.7,91.5,59.4,10,37,4,0,48,27,3.55,2,0.26,25,12,38,21,15,3,12,10,437,21,78,237,127,17,25,20.0,52.0,232,586,14,8,2,22,8,262,32,10,26,0,5,49,6,7,46.2
Alexander Isak,SWE,Newcastle Utd,FW,25-223,31,31,"2,487",22,6,1,0,19.0,4.0,77,77,196,0.80,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,459,74.0,6537,83.2,77.5,62.2,38,32,26,1,77,85,3.08,14,0.51,12,5,12,7,18,2,16,3,933,20,54,348,545,175,88,47.7,50.0,558,1723,77,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2
Alexis Mac Allister,ARG,Liverpool,MF,26-129,33,30,"2,553",5,4,6,0,2.8,4.4,34,170,78,0.18,0.14,0.10,0.16,N/a,N/a,N/a,N/a,34.2,0.46,0.13,18.1,1245,83.4,19843,90.1,88.3,55.2,43,118,34,2,170,118,4.16,14,0.49,95,58,101,46,60,6,54,22,1827,55,279,944,624,60,42,38.1,50.0,893,1924,34,41,5,31,22,1203,78,60,39,2,84,145,19,34,35.8
Ali Al Hamadi,IRQ,Ipswich Town,FW,23-062,11,0,134,0,0,3,0,0.4,0.1,4,3,14,0.00,0.00,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,25,83.3,278,87.0,71.4,N/a,2,0,0,0,3,8,5.37,0,0.00,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7
Alisson,BRA,Liverpool,GK,32-212,24,24,"2,148",0,0,0,0,0.0,0.6,0,0,0,0.00,0.00,0.00,0.02,0.84,71.8,37.5,N/a,N/a,0.00,N/a,N/a,630,83.1,13996,98.9,98.5,47.8,1,10,0,0,0,6,0.25,1,0.04,1,0,1,1,0,0,0,0,801,577,786,15,0,0,1,100.0,0.0,509,1152,0,0,0,1,0,485,0,0,2,0,0,41,6,0,100.0
Alphonse Areola,FRA,West Ham,GK,32-064,23,22,"1,990",0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.72,63.1,18.2,N/a,N/a,0.00,N/a,N/a,615,70.4,16400,99.3,95.2,43.4,0,9,0,0,0,3,0.14,0,0.00,2,2,3,1,0,0,0,0,927,740,918,10,0,0,0,N/a,N/a,530,1174,0,0,0,0,0,481,0,0,0,0,0,27,2,0,100.0
Amad Diallo,CIV,Manchester Utd,"FW,MF",22-295,22,17,"1,594",6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,53,80,4.52,16,0.90,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5
Amadou Onana,BEL,Aston Villa,MF,23-259,22,17,"1,348",3,0,4,0,2.1,0.3,20,58,13,0.20,0.00,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.40,0.18,14.7,589,88.4,9251,94.4,89.9,71.4,7,52,8,1,58,25,1.67,4,0.27,46,24,24,10,14,6,8,24,836,60,227,490,132,20,17,64.7,17.6,459,1237,20,20,1,10,9,563,13,30,23,0,1,64,25,18,58.1
Andreas Pereira,BRA,Fulham,MF,29-121,31,23,"1,879",2,4,7,0,3.5,4.5,27,99,78,0.10,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4
Andrew Robertson,SCO,Liverpool,DF,31-052,31,27,"2,308",0,0,3,1,1.0,4.1,58,165,95,0.00,0.00,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.00,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3
André,BRA,Wolves,MF,23-290,29,27,"2,170",0,0,7,0,0.4,0.7,8,92,11,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,12.5,0.04,0.00,25.8,1074,92.7,16897,95.3,95.2,79.3,14,97,4,0,92,43,1.78,3,0.12,76,46,56,24,40,8,32,32,1402,80,380,905,131,3,26,50.0,34.6,768,1386,8,14,0,27,17,941,11,34,32,0,0,172,2,6,25.0
André Onana,CMR,Manchester Utd,GK,29-030,33,33,"2,970",0,0,0,0,0.0,0.2,0,1,0,0.00,0.00,0.00,0.01,1.30,69.0,27.3,25.0,N/a,0.00,N/a,N/a,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,1,4,0.12,0,0.00,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,N/a,N/a,932,2615,0,0,0,1,0,810,0,0,2,0,0,33,6,0,100.0
Andrés García,ESP,Aston Villa,"DF,MF",22-084,7,5,318,0,0,0,0,0.0,0.2,26,15,28,0.00,0.00,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,26.6,174,86.6,2725,92.7,90.2,53.8,3,9,8,5,15,3,0.85,0,0.00,9,5,8,4,2,0,2,2,256,8,38,108,112,2,18,27.8,66.7,159,673,26,13,2,10,6,168,28,1,0,0,18,15,0,6,0.0
Andy Irving,SCO,West Ham,MF,24-354,10,1,166,0,0,2,0,0.1,0.2,0,9,4,0.00,0.00,0.06,0.13,N/a,N/a,N/a,N/a,50.0,1.08,0.00,26.2,109,87.9,1705,95.3,83.7,100.0,1,14,1,1,9,5,2.68,0,0.00,7,4,5,4,5,1,4,1,150,7,37,89,24,0,1,100.0,0.0,73,137,0,1,0,1,3,104,4,6,1,0,2,10,1,1,50.0
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23-005,34,27,"2,142",6,9,1,0,4.0,4.7,84,52,177,0.25,0.38,0.17,0.20,N/a,N/a,N/a,N/a,50.0,0.80,0.16,17.2,452,64.8,6511,83.3,63.1,33.6,43,27,24,7,52,87,3.66,14,0.59,18,13,16,12,10,1,9,5,954,29,127,276,567,95,76,30.3,47.4,507,2207,84,42,41,66,37,637,177,8,35,14,151,81,22,33,40.0
Anthony Gordon,ENG,Newcastle Utd,FW,24-067,30,25,"2,200",6,5,2,0,8.0,4.9,109,92,194,0.25,0.20,0.33,0.20,N/a,N/a,N/a,N/a,29.1,0.65,0.09,16.6,661,73.1,10125,86.1,77.7,42.2,50,59,50,16,92,98,4.01,12,0.49,31,17,34,22,24,2,22,6,1165,16,115,439,630,123,96,36.5,46.9,748,2978,109,55,55,28,35,838,194,19,62,8,120,92,5,7,41.7
Antoine Semenyo,GHA,Bournemouth,FW,25-115,33,33,"2,907",9,4,9,0,9.3,5.7,132,106,259,0.28,0.12,0.29,0.18,N/a,N/a,N/a,N/a,31.4,1.15,0.08,17.2,728,73.3,10406,84.9,76.6,37.8,44,48,44,8,106,122,3.78,12,0.37,53,34,42,26,59,8,51,10,1485,44,181,520,817,176,123,52.0,40.7,898,3357,132,64,64,78,71,1032,259,65,36,14,52,147,60,72,45.5
Antonee Robinson,USA,Fulham,DF,27-267,33,32,"2,899",0,10,8,0,0.7,4.1,110,120,257,0.00,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.00,22.1,1482,76.5,25356,86.5,78.9,56.6,41,109,50,26,120,74,2.30,11,0.34,84,56,86,43,36,6,30,56,2339,121,741,893,739,65,75,44.0,41.3,1252,3937,110,59,29,40,18,1402,257,30,17,6,158,142,45,25,64.3
Antony,BRA,Manchester Utd,"DF,MF",25-067,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.00,0.00,0.65,0.08,N/a,N/a,N/a,N/a,50.0,1.91,0.00,15.8,56,81.2,688,88.2,64.3,100.0,3,1,5,2,6,8,5.11,0,0.00,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,69,7,2,5,0,5,11,0,1,0.0
Antonín Kinský,CZE,Tottenham,GK,22-050,4,4,360,0,0,0,0,0.0,0.1,1,1,0,0.00,0.00,0.00,0.02,1.75,56.3,25.0,N/a,N/a,0.00,N/a,N/a,116,80.0,2699,100.0,96.1,47.9,1,2,0,0,1,1,0.25,0,0.00,3,1,1,0,0,0,0,0,156,134,154,2,0,0,0,N/a,N/a,97,267,1,0,0,0,0,98,0,0,0,0,0,4,2,0,100.0
Archie Gray,ENG,Tottenham,"DF,MF",19-051,24,15,"1,391",0,0,0,0,0.0,0.1,5,32,15,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.00,24.6,912,88.6,15954,92.6,92.9,60.7,2,37,0,0,32,5,0.32,0,0.00,12,6,16,10,19,10,9,12,1138,134,546,520,82,2,10,50.0,40.0,798,1496,5,5,0,9,10,860,15,9,11,0,12,57,9,8,52.9
Arijanet Muric,KVX,Ipswich Town,GK,26-176,18,18,"1,620",0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.83,70.0,5.6,0.0,N/a,0.00,N/a,N/a,454,71.7,11705,100.0,97.3,40.6,0,14,0,0,1,1,0.06,0,0.00,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,321,0,0,4,0,0,26,11,1,91.7
Armando Broja,ALB,Everton,FW,23-234,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.00,0.00,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,17.3,53,72.6,594,77.8,83.3,66.7,4,3,0,0,2,7,1.89,0,0.00,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,12,8,3,16,13,94,26,6,4,3,1,9,18,21,46.2
Armel Bella Kotchap,GER,Southampton,DF,23-142,4,2,331,0,0,0,0,0.3,0.0,0,5,0,0.00,0.00,0.09,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,9.1,202,90.2,3829,98.5,96.7,55.2,0,6,0,0,5,2,0.54,0,0.00,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,0,1,0,192,0,3,2,0,0,19,6,5,54.5
Ashley Young,ENG,Everton,"DF,FW",39-297,28,17,"1,613",1,3,6,1,0.3,1.6,20,82,26,0.06,0.17,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,606,70.0,11151,87.9,76.1,40.4,19,71,18,9,82,37,2.06,6,0.33,50,28,50,19,10,3,7,23,1034,51,314,448,277,9,14,35.7,50.0,409,1210,20,24,1,8,1,528,26,24,17,0,64,61,10,10,50.0
Axel Disasi,FRA,Chelsea,DF,27-052,6,4,364,1,0,1,0,0.3,0.1,6,16,2,0.25,0.00,0.07,0.02,N/a,N/a,N/a,N/a,50.0,0.25,0.50,12.3,266,90.8,4218,94.4,92.9,69.2,2,20,2,0,16,2,0.49,0,0.00,7,4,11,5,4,1,3,2,323,17,110,175,40,2,1,100.0,0.0,196,519,6,3,0,1,3,242,2,2,0,0,0,15,5,2,71.4
Axel Disasi,FRA,Aston Villa,DF,27-052,7,5,490,0,0,2,0,0.1,0.4,10,16,5,0.00,0.00,0.02,0.07,N/a,N/a,N/a,N/a,0.0,0.00,0.00,19.5,243,86.8,4080,94.5,89.7,53.3,3,14,3,0,16,9,1.65,0,0.00,8,5,7,4,4,1,3,5,334,32,130,178,29,6,15,60.0,40.0,207,621,10,8,2,3,2,223,5,3,2,2,1,15,8,6,57.1
Axel Tuanzebe,COD,Ipswich Town,DF,27-169,18,17,"1,445",0,1,5,1,0.2,0.3,9,45,8,0.00,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,535,83.1,8240,91.0,81.8,56.1,4,49,2,0,45,11,0.68,2,0.12,29,17,24,8,18,9,9,21,789,89,343,347,105,6,10,40.0,60.0,338,724,9,6,1,11,1,407,8,12,11,0,6,43,15,16,48.4
Ayden Heaven,ENG,Manchester Utd,DF,18-222,2,1,95,0,0,0,0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,40,81.6,695,82.4,88.9,33.3,0,2,0,0,2,2,1.89,0,0.00,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100.0,0.0,42,122,1,1,0,2,1,40,1,2,3,0,0,4,1,2,33.3
Bart Verbruggen,NED,Brighton,GK,22-257,32,32,"2,880",0,1,5,0,0.0,0.0,0,2,0,0.00,0.03,0.00,0.00,1.69,63.3,18.8,0.0,N/a,0.00,N/a,N/a,919,78.0,21660,99.2,98.2,47.2,1,17,1,0,2,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1258,999,1245,13,0,0,2,100.0,0.0,853,1588,0,1,1,2,0,815,0,0,2,0,0,58,10,1,90.9
Ben Brereton,CHI,Southampton,FW,26-014,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.00,0.00,0.18,0.02,N/a,N/a,N/a,N/a,9.1,0.20,0.00,17.3,128,77.1,1836,87.4,67.9,63.6,3,9,2,1,9,9,1.80,0,0.00,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,12,13,4,9,4,171,42,4,8,1,5,16,9,7,56.3
Ben Chilwell,ENG,Crystal Palace,DF,28-132,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.00,0.00,0.05,0.13,N/a,N/a,N/a,N/a,50.0,0.65,0.00,27.6,45,65.2,618,83.9,64.0,11.1,2,4,2,0,3,3,1.93,0,0.00,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,2,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0
Ben Davies,WAL,Tottenham,DF,32-008,13,11,"1,036",0,0,3,0,0.3,0.2,13,49,6,0.00,0.00,0.02,0.02,N/a,N/a,N/a,N/a,20.0,0.09,0.00,17.0,745,89.4,13969,93.4,94.7,65.3,2,41,2,0,49,8,0.69,0,0.00,13,9,13,7,23,15,8,11,965,169,502,419,44,12,1,100.0,0.0,558,1633,13,9,0,4,0,653,6,12,5,0,4,34,41,35,53.9
Ben Godfrey,ENG,Ipswich Town,DF,27-107,3,2,159,0,0,1,0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,47,82.5,657,90.9,88.9,N/a,0,5,1,0,4,1,0.57,0,0.00,1,0,1,0,1,1,0,2,68,6,26,33,9,1,0,N/a,N/a,33,79,2,2,0,2,1,42,1,1,0,0,0,2,3,0,100.0
Ben Johnson,ENG,Ipswich Town,"DF,FW",25-098,22,14,"1,348",1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.20,0.14,12.6,296,71.5,4812,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,27,6,1,37,57,19,18,51.4
Ben Mee,ENG,Brentford,DF,35-223,7,2,183,0,0,2,0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,93,77.5,1751,89.5,85.0,40.0,0,10,0,0,11,0,0.00,0,0.00,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,274,3,1,1,0,0,86,2,5,0,0,0,11,5,5,50.0
Ben White,ENG,Arsenal,DF,27-206,13,9,856,0,1,2,0,0.4,0.8,10,42,27,0.00,0.11,0.04,0.09,N/a,N/a,N/a,N/a,14.3,0.11,0.00,19.1,421,83.9,6823,92.4,84.9,47.6,7,37,8,1,42,15,1.58,1,0.11,12,8,24,14,9,7,2,12,585,44,167,263,159,19,3,0.0,66.7,279,559,10,10,3,8,4,359,27,8,4,1,10,24,11,3,78.6
Benoît Badiashile,FRA,Chelsea,DF,24-037,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,273,89.8,4820,93.3,93.8,65.6,0,37,1,0,17,0,0.00,0,0.00,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,3,5,0,1,0,247,2,6,2,0,0,18,8,2,80.0
Bernardo Silva,POR,Manchester City,"MF,FW",30-265,29,25,"2,311",3,4,7,0,3.2,4.2,92,109,180,0.12,0.16,0.13,0.17,N/a,N/a,N/a,N/a,35.7,0.39,0.11,12.9,1284,86.9,19677,91.9,88.7,65.3,44,70,30,7,109,79,3.08,8,0.31,49,32,49,26,30,7,23,19,1705,42,298,675,749,127,55,45.5,41.8,1068,3501,92,59,30,21,31,1261,180,25,27,3,50,90,5,10,33.3
